Á¶°Çº°ºÐ¼®,,,,,,,,,
[°Ë»öÁ¶°Ç],,,,,,,,,
,ºÐ·ù: Áö»ó,,,,,,,,
,¿ä¼Ò : ±â¿Â,,,,,,,,
,°Ë»ö±¸ºÐ : ¿ù,,,,,,,,
,Áö¿ª/ÁöÁ¡¸í : °­¸ª,,,,,,,,
,±â°£ : 1904 ~ 2025³â 01 ~ 12¿ù,,,,,,,,
,,,,,,,,,
,,,,,,,,,
"	",,,,,,,,,
"		ÁöÁ¡¹øÈ£",ÁöÁ¡¸í,ÀÏ½Ã,Æò±Õ±â¿Â(¡É),Æò±ÕÃÖ°í±â¿Â(¡É),ÃÖ°í±â¿Â(¡É),"	ÃÖ°í±â¿ÂÀÏÀÚ",Æò±ÕÃÖÀú±â¿Â(¡É),ÃÖÀú±â¿Â(¡É),ÃÖÀú±â¿ÂÀÏÀÚ
"		105",°­¸ª,16-Apr,10.2,15.6,23.8,1916-04-19,5.8,-1.7,1916-04-04
"		105",°­¸ª,16-May,16.1,22,33.5,1916-05-11,11.3,5.8,1916-05-03
"		105",°­¸ª,16-Jun,21,25.7,34,1916-06-03,17.4,13.7,1916-06-11
"		105",°­¸ª,16-Jul,23.1,27.3,33.2,1916-07-03,19.9,14.5,1916-07-02
"		105",°­¸ª,16-Aug,23.1,27.5,33.6,1916-08-19,20.2,15.7,1916-08-22
"		105",°­¸ª,16-Sep,19.4,23.8,31.8,1916-09-21,16.1,11.2,1916-09-29
"		105",°­¸ª,16-Oct,14.2,19.5,23.5,1916-10-22,10.1,3.6,1916-10-27
"		105",°­¸ª,16-Nov,8.9,13.5,18.5,1916-11-03,5.2,-4.7,1916-11-28
"		105",°­¸ª,16-Dec,2.9,8,16.6,1916-12-07,-1.4,-14.8,1916-12-27
"		105",°­¸ª,17-Jan,,1.6,8.4,1917-01-25,-8.1,-17,1917-01-08
"		105",°­¸ª,17-Feb,-0.7,3.9,11.1,1917-02-23,-4.5,-10.2,1917-02-02
"		105",°­¸ª,17-Mar,3.6,8.3,16.9,1917-03-31,-0.4,-8,1917-03-01
"		105",°­¸ª,17-Apr,11.1,17.3,25,1917-04-26,5.8,0.2,1917-04-11
"		105",°­¸ª,17-May,15.2,20.8,30,1917-05-18,10.1,2.4,1917-05-07
"		105",°­¸ª,17-Jun,20.5,26.8,34.2,1917-06-29,15.1,6.9,1917-06-06
"		105",°­¸ª,17-Jul,25.1,30.3,36.4,1917-07-25,21.4,16.6,1917-07-08
"		105",°­¸ª,17-Aug,24.5,29.6,36,1917-08-09,20.9,15.5,1917-08-25
"		105",°­¸ª,17-Sep,19.9,24.4,32,1917-09-06,16.5,11.5,1917-09-30
"		105",°­¸ª,17-Oct,14.3,19.8,25.5,1917-10-02,10.3,3.4,1917-10-30
"		105",°­¸ª,17-Nov,6.1,11.4,17.9,1917-11-03,1.4,-4.3,1917-11-28
"		105",°­¸ª,17-Dec,-1.6,3.2,15.1,1917-12-02,-5.5,-13.9,1917-12-26
"		105",°­¸ª,18-Jan,-2.4,3.1,9.7,1918-01-12,-6.7,-12.2,1918-01-07
"		105",°­¸ª,18-Feb,0.9,5.7,12,1918-02-25,-3.4,-13.4,1918-02-18
"		105",°­¸ª,18-Mar,4,9.5,18,1918-03-22,-0.5,-7.8,1918-03-02
"		105",°­¸ª,18-Apr,9.8,15.4,28.1,1918-04-18,5.5,-0.8,1918-04-04
"		105",°­¸ª,18-May,15.7,21,27.5,1918-05-16,11.7,4.1,1918-05-04
"		105",°­¸ª,18-Jun,21.6,27.1,33.5,1918-06-27,16.7,12.4,1918-06-01
"		105",°­¸ª,18-Jul,20.3,24.3,32.5,1918-07-31,17.4,13.2,1918-07-15
"		105",°­¸ª,18-Aug,23.4,28,34,1918-08-01,19.9,15,1918-08-21
"		105",°­¸ª,18-Sep,19.4,24.7,30.5,1918-09-05,15.1,11.5,1918-09-15
"		105",°­¸ª,18-Oct,14.3,19.8,26.1,1918-10-21,9.7,2.9,1918-10-25
"		105",°­¸ª,18-Nov,7.1,12,19.1,1918-11-01,2.5,-5.1,1918-11-11
"		105",°­¸ª,18-Dec,1.9,6.4,12.6,1918-12-01,-2.4,-9.5,1918-12-15
"		105",°­¸ª,19-Jan,-2.1,2,9,1919-01-07,-6,-14.3,1919-01-20
"		105",°­¸ª,19-Feb,0,5.4,14.3,1919-02-17,-5.8,-14.1,1919-02-05
"		105",°­¸ª,19-Mar,6.1,11.9,22.6,1919-03-24,1.4,-3.3,1919-03-26
"		105",°­¸ª,19-Apr,11.2,17.2,26.5,1919-04-09,5.4,-2,1919-04-01
"		105",°­¸ª,19-May,15.9,21.9,30.9,1919-05-30,10.7,2,1919-05-03
"		105",°­¸ª,19-Jun,18.8,23.5,33.9,1919-06-29,15.6,11.3,1919-06-01
"		105",°­¸ª,19-Jul,23.1,27.6,36.4,1919-07-23,19.7,12,1919-07-09
"		105",°­¸ª,19-Aug,23.5,28.3,33.3,1919-08-28,19.9,13.7,1919-08-21
"		105",°­¸ª,19-Sep,18.6,23.8,31.5,1919-09-05,14.7,10.8,1919-09-27
"		105",°­¸ª,19-Oct,14,20,23.8,1919-10-11,9.4,3.8,1919-10-22
"		105",°­¸ª,19-Nov,9,14.8,24.8,1919-11-03,4,-4.5,1919-11-25
"		105",°­¸ª,19-Dec,1.1,6,13.5,1919-12-03,-2.8,-9.2,1919-12-16
"		105",°­¸ª,20-Jan,-1.6,2.9,10,1920-01-27,-5.7,-13.8,1920-01-15
"		105",°­¸ª,20-Feb,-1.4,2.4,6.8,1920-02-16,-4.9,-14.6,1920-02-10
"		105",°­¸ª,20-Mar,4,8.7,20.9,1920-03-22,-0.3,-8.9,1920-03-07
"		105",°­¸ª,20-Apr,11.2,17.3,28.2,1920-04-28,6.2,1,1920-04-07
"		105",°­¸ª,20-May,13.9,19.4,29.2,1920-05-22,9.6,5.6,1920-05-04
"		105",°­¸ª,20-Jun,19.5,24.5,30.5,1920-06-24,15.4,8.1,1920-06-01
"		105",°­¸ª,20-Jul,25.1,29.6,35.8,1920-07-27,21.8,19.2,1920-07-08
"		105",°­¸ª,20-Aug,23.2,27.2,33.7,1920-08-03,19.8,17,1920-08-05
"		105",°­¸ª,20-Sep,20,24.6,29.9,1920-09-22,16.7,12.4,1920-09-27
"		105",°­¸ª,20-Oct,15.5,21.7,26.5,1920-10-04,10.6,7.1,1920-10-23
"		105",°­¸ª,20-Nov,10.3,15.5,26.2,1920-11-02,5.7,0,1920-11-30
"		105",°­¸ª,20-Dec,1.8,6.1,12.9,1920-12-18,-2.3,-8.4,1920-12-09
"		105",°­¸ª,21-Jan,1.4,5.3,12,1921-01-25,-2.7,-7.7,1921-01-09
"		105",°­¸ª,21-Feb,1.6,6.5,16.3,1921-02-26,-2.8,-7.6,1921-02-18
"		105",°­¸ª,21-Mar,4.5,9.3,19,1921-03-31,0.3,-5.8,1921-03-15
"		105",°­¸ª,21-Apr,10.9,16.8,23.5,1921-04-20,5.9,-1.1,1921-04-08
"		105",°­¸ª,21-May,14.7,20.1,27.8,1921-05-28,10.1,3.9,1921-05-07
"		105",°­¸ª,21-Jun,17.7,22.1,31.5,1921-06-13,13.9,6,1921-06-03
"		105",°­¸ª,21-Jul,23.3,27.2,33,1921-07-15,20.1,15.8,1921-07-01
"		105",°­¸ª,21-Aug,24.5,29.2,36,1921-08-10,21.1,17.3,1921-08-29
"		105",°­¸ª,21-Sep,19,24.1,28.3,1921-09-06,15.3,10.7,1921-09-30
"		105",°­¸ª,21-Oct,13,18.7,25.5,1921-10-04,8.8,4.4,1921-10-29
"		105",°­¸ª,21-Nov,7,12.2,19.8,1921-11-14,1.8,-5.2,1921-11-22
"		105",°­¸ª,21-Dec,2.8,7.6,14.5,1921-12-15,-1.6,-8.9,1921-12-02
"		105",°­¸ª,22-Jan,-3.3,1.3,7,1922-01-12,-7.3,-13.2,1922-01-19
"		105",°­¸ª,22-Feb,2,6.7,15,1922-02-23,-2.3,-10,1922-02-01
"		105",°­¸ª,22-Mar,4.9,9.8,17.7,1922-03-14,0.2,-5.7,1922-03-24
"		105",°­¸ª,22-Apr,11.9,17.4,31.3,1922-04-28,6.9,1.2,1922-04-02
"		105",°­¸ª,22-May,16.1,21.7,32.8,1922-05-26,11,4.4,1922-05-04
"		105",°­¸ª,22-Jun,21.6,26.8,35.4,1922-06-14,16.9,9.3,1922-06-05
"		105",°­¸ª,22-Jul,25,29.4,34.5,1922-07-30,21.4,17.1,1922-07-12
"		105",°­¸ª,22-Aug,25.5,29.8,35.6,1922-08-06,21.8,16,1922-08-25
"		105",°­¸ª,22-Sep,20.6,25.7,33.3,1922-09-01,16.8,9.1,1922-09-30
"		105",°­¸ª,22-Oct,15.5,21.1,25.4,1922-10-22,10.5,2.6,1922-10-11
"		105",°­¸ª,22-Nov,6.9,11.7,20.8,1922-11-03,2.2,-6.5,1922-11-27
"		105",°­¸ª,22-Dec,0.9,5.7,10.7,1922-12-06,-3.8,-9.9,1922-12-31
"		105",°­¸ª,23-Jan,-2.1,2.3,13.3,1923-01-21,-6.9,-16.6,1923-01-02
"		105",°­¸ª,23-Feb,-2.2,2.3,8.9,1923-02-18,-6.5,-14.3,1923-02-26
"		105",°­¸ª,23-Mar,5.8,10.7,23.3,1923-03-27,0.6,-6.8,1923-03-14
"		105",°­¸ª,23-Apr,10.7,15.7,25.9,1923-04-27,6.2,-0.3,1923-04-06
"		105",°­¸ª,23-May,15.7,20.9,30.5,1923-05-24,10.6,6.3,1923-05-11
"		105",°­¸ª,23-Jun,20,25.8,34.2,1923-06-20,14.9,8.5,1923-06-02
"		105",°­¸ª,23-Jul,23,26.8,33.5,1923-07-27,19.2,14.9,1923-07-01
"		105",°­¸ª,23-Aug,26.3,30.8,37,1923-08-08,22.4,18.5,1923-08-02
"		105",°­¸ª,23-Sep,18.7,23.3,31.4,1923-09-03,14.8,8.6,1923-09-28
"		105",°­¸ª,23-Oct,14.5,20.2,25.2,1923-10-29,9.8,4.5,1923-10-24
"		105",°­¸ª,23-Nov,7.5,13,19.4,1923-11-07,2.3,-7.2,1923-11-30
"		105",°­¸ª,23-Dec,2,6.8,15,1923-12-06,-3.2,-13.1,1923-12-29
"		105",°­¸ª,24-Jan,0.9,5.6,13.6,1924-01-12,-4,-12,1924-01-26
"		105",°­¸ª,24-Feb,-0.7,3.3,8.3,1924-02-18,-4.9,-11.9,1924-02-23
"		105",°­¸ª,24-Mar,2.1,7.1,21.6,1924-03-31,-2.5,-7.7,1924-03-07
"		105",°­¸ª,24-Apr,11.5,17.2,25.8,1924-04-21,6.4,-1.7,1924-04-04
"		105",°­¸ª,24-May,15.5,21.7,32,1924-05-30,9.6,4.6,1924-05-06
"		105",°­¸ª,24-Jun,18.2,23.5,30.8,1924-06-30,13.7,8.6,1924-06-08
"		105",°­¸ª,24-Jul,26.2,31.2,35.7,1924-07-08,22.3,17.5,1924-07-05
"		105",°­¸ª,24-Aug,25.1,30.1,35.5,1924-08-11,21,16,1924-08-30
"		105",°­¸ª,24-Sep,20,25.7,31.7,1924-09-07,15.6,11.6,1924-09-28
"		105",°­¸ª,24-Oct,14.1,20,25,1924-10-14,8.4,2.5,1924-10-21
"		105",°­¸ª,24-Nov,6.2,12.2,22.2,1924-11-01,1.1,-5.9,1924-11-09
"		105",°­¸ª,24-Dec,1.8,6.6,13.5,1924-12-03,-2.9,-9.8,1924-12-12
"		105",°­¸ª,25-Jan,-1.3,3.5,8.3,1925-01-10,-5.9,-12.4,1925-01-31
"		105",°­¸ª,25-Feb,-1.4,3.8,8.7,1925-02-17,-6.3,-10.9,1925-02-01
"		105",°­¸ª,25-Mar,3.5,8.9,14.5,1925-03-31,-1.3,-5.8,1925-03-05
"		105",°­¸ª,25-Apr,10.9,17,28.2,1925-04-19,5.5,-2.7,1925-04-05
"		105",°­¸ª,25-May,14.8,20.2,30.9,1925-05-05,10.3,4.4,1925-05-09
"		105",°­¸ª,25-Jun,19.6,24.3,33.3,1925-06-17,15.2,8.9,1925-06-15
"		105",°­¸ª,25-Jul,21.7,25.6,34.9,1925-07-30,18.7,13.2,1925-07-14
"		105",°­¸ª,25-Aug,24.5,29,34.8,1925-08-12,20.9,18.9,1925-08-07
"		105",°­¸ª,25-Sep,19.2,24.2,27.7,1925-09-19,15.1,11.3,1925-09-20
"		105",°­¸ª,25-Oct,14.3,20.5,24.5,1925-10-08,8.9,2,1925-10-22
"		105",°­¸ª,25-Nov,9.4,14.4,19.7,1925-11-01,5,-1.4,1925-11-30
"		105",°­¸ª,25-Dec,1.2,5.2,15,1925-12-09,-3.2,-14.3,1925-12-30
"		105",°­¸ª,26-Jan,-1.7,2.7,9,1926-01-13,-6.4,-12.8,1926-01-24
"		105",°­¸ª,26-Feb,0,5.3,12.7,1926-02-14,-5.4,-10.2,1926-02-05
"		105",°­¸ª,26-Mar,4.9,10.4,20.6,1926-03-29,-0.2,-7.2,1926-03-26
"		105",°­¸ª,26-Apr,10,16.3,24.4,1926-04-16,4.4,-0.8,1926-04-04
"		105",°­¸ª,26-May,14.7,19.8,30.5,1926-05-26,10.5,5.6,1926-05-15
"		105",°­¸ª,26-Jun,20.1,25.5,34.5,1926-06-09,15.2,8.3,1926-06-16
"		105",°­¸ª,26-Jul,22.7,27.4,37,1926-07-15,19,14.7,1926-07-08
"		105",°­¸ª,26-Aug,26,30.3,36.5,1926-08-10,22,18.5,1926-08-25
"		105",°­¸ª,26-Sep,20,24.8,30.9,1926-09-07,16.2,12.1,1926-09-28
"		105",°­¸ª,26-Oct,12.8,17.9,24.8,1926-10-04,7.9,1.8,1926-10-24
"		105",°­¸ª,26-Nov,8.5,14.2,21.5,1926-11-05,3.5,-0.6,1926-11-16
"		105",°­¸ª,26-Dec,-0.7,4.6,15.7,1926-12-01,-5.8,-13.2,1926-12-08
"		105",°­¸ª,27-Jan,-2.1,2.5,11.4,1927-01-04,-7.1,-16.6,1927-01-21
"		105",°­¸ª,27-Feb,-1.4,3.1,8.2,1927-02-14,-6,-12.4,1927-02-08
"		105",°­¸ª,27-Mar,4.1,9.3,20,1927-03-28,-0.6,-6.7,1927-03-03
"		105",°­¸ª,27-Apr,11.4,17,30.7,1927-04-27,6.3,-1.8,1927-04-06
"		105",°­¸ª,27-May,14.8,20.6,29.3,1927-05-30,9.7,5.8,1927-05-12
"		105",°­¸ª,27-Jun,21.1,26.7,32.6,1927-06-28,15.8,9.9,1927-06-01
"		105",°­¸ª,27-Jul,26.5,31.4,36.1,1927-07-26,22.1,17.5,1927-07-06
"		105",°­¸ª,27-Aug,23.6,28.3,34,1927-08-02,19.8,14.3,1927-08-31
"		105",°­¸ª,27-Sep,18.6,24.3,30.3,1927-09-01,14.3,8.9,1927-09-30
