Á¶°Çº°ºÐ¼®,,,,,,,,,
[°Ë»öÁ¶°Ç],,,,,,,,,
,ºÐ·ù: Áö»ó,,,,,,,,
,¿ä¼Ò : ±â¿Â,,,,,,,,
,°Ë»ö±¸ºÐ : ¿ù,,,,,,,,
,Áö¿ª/ÁöÁ¡¸í : °­¸ª,,,,,,,,
,±â°£ : 1904 ~ 2025³â 01 ~ 12¿ù,,,,,,,,
,,,,,,,,,
,,,,,,,,,
"	",,,,,,,,,
"		ÁöÁ¡¹øÈ£",ÁöÁ¡¸í,ÀÏ½Ã,Æò±Õ±â¿Â(¡É),Æò±ÕÃÖ°í±â¿Â(¡É),ÃÖ°í±â¿Â(¡É),"	ÃÖ°í±â¿ÂÀÏÀÚ",Æò±ÕÃÖÀú±â¿Â(¡É),ÃÖÀú±â¿Â(¡É),ÃÖÀú±â¿ÂÀÏÀÚ
"		105",°­¸ª,Aug-32,22.9,26.8,33.2,1932-08-29,20.2,15.5,1932-08-08
"		105",°­¸ª,Sep-32,18.1,23.5,26.6,1932-09-30,14.8,11.7,1932-09-29
"		105",°­¸ª,Oct-32,13.7,20.4,28.7,1932-10-01,8.9,2.8,1932-10-26
"		105",°­¸ª,Nov-32,8.6,14.4,24.5,1932-11-04,3.7,-3.2,1932-11-08
"		105",°­¸ª,Dec-32,2.8,7.6,13.1,1932-12-18,-1.2,-9.4,1932-12-13
"		105",°­¸ª,Jan-33,-2.9,1.9,12.6,1933-01-10,-6.7,-14.5,1933-01-26
"		105",°­¸ª,Feb-33,-0.8,4.4,10.7,1933-02-28,-5.3,-10.8,1933-02-19
"		105",°­¸ª,Mar-33,2.4,7.2,16.7,1933-03-20,-1.7,-9.7,1933-03-07
"		105",°­¸ª,Apr-33,10.8,16.6,28.3,1933-04-29,6,0,1933-04-13
"		105",°­¸ª,May-33,16.1,21.7,30.4,1933-05-11,11.9,4.8,1933-05-06
"		105",°­¸ª,Jun-33,20.2,25.4,31.2,1933-06-09,16.6,12.8,1933-06-02
"		105",°­¸ª,Jul-33,24.7,29.4,35,1933-07-23,21.5,15.6,1933-07-03
"		105",°­¸ª,Aug-33,23.8,28.1,34.7,1933-08-31,21,18.4,1933-08-19
"		105",°­¸ª,Sep-33,20,25.3,30.5,1933-09-01,16.2,8.7,1933-09-28
"		105",°­¸ª,Oct-33,13.7,18.9,25.5,1933-10-04,10,1.2,1933-10-25
"		105",°­¸ª,Nov-33,8.4,14.2,19.7,1933-11-10,3.8,-2,1933-11-29
"		105",°­¸ª,Dec-33,2.9,7,14.8,1933-12-07,-0.5,-9.2,1933-12-22
"		105",°­¸ª,Jan-34,-3.2,2.1,9.1,1934-01-31,-7.5,-12.9,1934-01-24
"		105",°­¸ª,Feb-34,0,4.8,9.3,1934-02-21,-4.2,-8.3,1934-02-03
"		105",°­¸ª,Mar-34,3,8.1,19,1934-03-20,-1,-8.2,1934-03-05
"		105",°­¸ª,Apr-34,10.3,16.7,25.4,1934-04-22,5.6,-2.6,1934-04-06
"		105",°­¸ª,May-34,16.6,23.2,31.6,1934-05-27,12,4,1934-05-01
"		105",°­¸ª,Jun-34,20.8,26.9,32.9,1934-06-27,16.9,12.1,1934-06-10
"		105",°­¸ª,Jul-34,23.2,27.2,35.1,1934-07-07,20.4,16.9,1934-07-17
"		105",°­¸ª,Aug-34,23.4,27.9,33.7,1934-08-05,20.2,16.3,1934-08-28
"		105",°­¸ª,Sep-34,19.2,24.4,30.7,1934-09-15,15.3,8.6,1934-09-23
"		105",°­¸ª,Oct-34,12.4,19,24.3,1934-10-13,7.3,1.7,1934-10-25
"		105",°­¸ª,Nov-34,6.9,12.7,21,1934-11-06,2.1,-7,1934-11-28
"		105",°­¸ª,Dec-34,4.1,9.6,18.9,1934-12-09,-0.2,-4.6,1934-12-01
"		105",°­¸ª,Jan-35,-0.4,4.4,12.5,1935-01-11,-4.6,-10.6,1935-01-18
"		105",°­¸ª,Feb-35,2,8.2,15.8,1935-02-25,-2.8,-11.6,1935-02-06
"		105",°­¸ª,Mar-35,6.3,12.4,19.7,1935-03-15,1.8,-3.7,1935-03-05
"		105",°­¸ª,Apr-35,11.8,17.6,30,1935-04-26,6.9,0.5,1935-04-01
"		105",°­¸ª,May-35,16.3,22.8,30.5,1935-05-24,11.5,3.6,1935-05-01
"		105",°­¸ª,Jun-35,19.8,25.2,32.1,1935-06-26,15.9,12.8,1935-06-03
"		105",°­¸ª,Jul-35,23.2,27.8,36.9,1935-07-30,19.7,15,1935-07-08
"		105",°­¸ª,Aug-35,23.7,28.5,34.5,1935-08-18,20.8,17.3,1935-08-30
"		105",°­¸ª,Sep-35,19,24.9,29.3,1935-09-08,14.8,8.3,1935-09-14
"		105",°­¸ª,Oct-35,16,22.6,27.1,1935-10-10,11.2,6.6,1935-10-08
"		105",°­¸ª,Nov-35,8.3,13.3,20.2,1935-11-22,4.5,-0.4,1935-11-17
"		105",°­¸ª,Dec-35,0.4,5.3,14.5,1935-12-07,-4,-10.7,1935-12-22
"		105",°­¸ª,Jan-36,-4,1.5,7.8,1936-01-28,-8.6,-15.8,1936-01-17
"		105",°­¸ª,Feb-36,-1.4,3.7,11,1936-02-16,-5.4,-12.3,1936-02-01
"		105",°­¸ª,Mar-36,2.5,8.6,18.5,1936-03-26,-2.2,-9.7,1936-03-01
"		105",°­¸ª,Apr-36,8,14.1,22.1,1936-04-26,3.8,-1.8,1936-04-10
"		105",°­¸ª,May-36,17.1,23.2,32.2,1936-05-11,12.1,6.9,1936-05-01
"		105",°­¸ª,Jun-36,20.3,26,34.6,1936-06-17,16.2,8.6,1936-06-07
"		105",°­¸ª,Jul-36,23.3,28.2,36.2,1936-07-21,19.9,14.4,1936-07-03
"		105",°­¸ª,Aug-36,22.3,26.6,32.2,1936-08-10,19.7,16.1,1936-08-17
"		105",°­¸ª,Sep-36,19.8,25.3,33.2,1936-09-09,16,10.6,1936-09-20
"		105",°­¸ª,Oct-36,14.9,21.8,27.4,1936-10-09,9.3,3.6,1936-10-23
"		105",°­¸ª,Nov-36,8.7,15.3,21.5,1936-11-04,3.5,-2.2,1936-11-28
"		105",°­¸ª,Dec-36,2.4,7.2,16.5,1936-12-01,-1.4,-5.8,1936-12-22
"		105",°­¸ª,Jan-37,0.2,5,15.4,1937-01-05,-3.9,-9.9,1937-01-11
"		105",°­¸ª,Feb-37,0.5,4.7,11.5,1937-02-22,-3.2,-9.3,1937-02-09
"		105",°­¸ª,Mar-37,4.3,9.4,17.5,1937-03-15,0,-5.7,1937-03-12
"		105",°­¸ª,Apr-37,9.6,16.1,26.8,1937-04-20,4.6,0.7,1937-04-02
"		105",°­¸ª,May-37,16.9,23,34.2,1937-05-13,12.1,5.8,1937-05-08
"		105",°­¸ª,Jun-37,19.4,24.5,30.1,1937-06-10,15.6,11.8,1937-06-10
"		105",°­¸ª,Jul-37,24.8,29.6,34.2,1937-07-22,21,14.6,1937-07-01
"		105",°­¸ª,Aug-37,27,32.7,37.1,1937-08-18,23,17.9,1937-08-27
"		105",°­¸ª,Sep-37,20.3,26,31,1937-09-02,16.2,10.6,1937-09-28
"		105",°­¸ª,Oct-37,15.3,21.9,27.4,1937-10-11,10.1,-1.3,1937-10-17
"		105",°­¸ª,Nov-37,9,14.2,22.1,1937-11-06,4.8,-1.8,1937-11-25
"		105",°­¸ª,Dec-37,0.2,5.5,15,1937-12-14,-4.6,-12.2,1937-12-27
"		105",°­¸ª,Jan-38,-1.8,3.7,13.5,1938-01-18,-6.6,-14.1,1938-01-08
"		105",°­¸ª,Feb-38,-0.7,5.1,17,1938-02-28,-5.3,-12.1,1938-02-09
"		105",°­¸ª,Mar-38,5.8,10.9,22.2,1938-03-18,2.1,-5.2,1938-03-08
"		105",°­¸ª,Apr-38,13.4,20.4,30.9,1938-04-19,7.8,1,1938-04-10
"		105",°­¸ª,May-38,16.6,22.8,33.1,1938-05-14,11.7,7.8,1938-05-20
"		105",°­¸ª,Jun-38,18.8,24,31.8,1938-06-04,15.2,12.3,1938-06-18
"		105",°­¸ª,Jul-38,24.6,29.6,36.3,1938-07-20,21.2,15.5,1938-07-01
"		105",°­¸ª,Aug-38,25.4,30.3,34.3,1938-08-26,22.2,19.2,1938-08-23
"		105",°­¸ª,Sep-38,19.4,25.6,31.3,1938-09-01,15.2,10.5,1938-09-26
"		105",°­¸ª,Oct-38,15.2,20.5,30,1938-10-05,11.1,6.8,1938-10-23
"		105",°­¸ª,Nov-38,8.2,14.2,23.3,1938-11-04,3.9,-5.2,1938-11-12
"		105",°­¸ª,Dec-38,1.7,7,15.2,1938-12-03,-2.6,-13.9,1938-12-28
"		105",°­¸ª,Jan-39,-1,4.4,10.5,1939-01-31,-5.6,-12.9,1939-01-05
"		105",°­¸ª,Feb-39,0.1,5.4,13.2,1939-02-25,-4.5,-12.9,1939-02-06
"		105",°­¸ª,Mar-39,4.8,10.1,16.8,1939-03-29,0.5,-3.4,1939-03-19
"		105",°­¸ª,Apr-39,11.1,17.4,26.6,1939-04-30,6.1,-1.8,1939-04-05
"		105",°­¸ª,May-39,15.6,21.4,29.3,1939-05-18,11.5,6.2,1939-05-13
"		105",°­¸ª,Jun-39,21.1,27.2,34.7,1939-06-18,16.4,6.7,1939-06-01
"		105",°­¸ª,Jul-39,26.3,32.2,38.5,1939-07-20,22.3,15.3,1939-07-01
"		105",°­¸ª,Aug-39,24.7,29.6,35.1,1939-08-11,21.3,18,1939-08-16
"		105",°­¸ª,Sep-39,21,27,32.5,1939-09-07,17.1,8.4,1939-09-30
"		105",°­¸ª,Oct-39,15.3,21.8,31.9,1939-10-11,10.2,1.2,1939-10-21
"		105",°­¸ª,Nov-39,8,13.7,21.5,1939-11-20,3.3,-6.9,1939-11-27
"		105",°­¸ª,Dec-39,2.8,8.3,13,1939-12-31,-2.1,-6.8,1939-12-11
"		105",°­¸ª,Jan-40,-2.9,2.4,12.1,1940-01-05,-7.7,-12.7,1940-01-27
"		105",°­¸ª,Feb-40,0.1,4.9,11.8,1940-02-24,-4.3,-10,1940-02-05
"		105",°­¸ª,Mar-40,5.3,11.3,21.7,1940-03-29,0.2,-9.2,1940-03-15
"		105",°­¸ª,Apr-40,11,16.6,25.8,1940-04-11,5.9,-0.6,1940-04-06
"		105",°­¸ª,May-40,18.7,25.5,32.8,1940-05-22,12.7,5.4,1940-05-05
"		105",°­¸ª,Jun-40,20.3,26,34.1,1940-06-22,15.6,10.4,1940-06-09
"		105",°­¸ª,Jul-40,23.4,28,36.1,1940-07-02,19.7,17.5,1940-07-15
"		105",°­¸ª,Aug-40,23.6,28.6,34.6,1940-08-04,19.8,14.5,1940-08-27
"		105",°­¸ª,Sep-40,18.3,23.9,28.7,1940-09-15,14.1,9.3,1940-09-19
"		105",°­¸ª,Oct-40,15.3,21.7,26.7,1940-10-06,9.8,4.7,1940-10-26
"		105",°­¸ª,Nov-40,9.6,15.6,26.2,1940-11-06,4.6,-2.1,1940-11-22
"		105",°­¸ª,Dec-40,3.5,8.7,14.2,1940-12-23,-1.1,-4.8,1940-12-17
"		105",°­¸ª,Jan-41,0.4,5.2,14.7,1941-01-18,-4.1,-15.6,1941-01-31
"		105",°­¸ª,Feb-41,0.2,5.3,11.8,1941-02-05,-4.2,-13,1941-02-01
"		105",°­¸ª,Mar-41,6.1,12.1,25.8,1941-03-20,1,-10.3,1941-03-04
"		105",°­¸ª,Apr-41,11.1,18.2,28.4,1941-04-17,5.5,-3.1,1941-04-02
"		105",°­¸ª,May-41,15.1,20.9,30.9,1941-05-19,10.4,5.8,1941-05-13
"		105",°­¸ª,Jun-41,18.6,23.8,34,1941-06-24,14.6,9.6,1941-06-20
"		105",°­¸ª,Jul-41,21,25.4,32.8,1941-07-01,17.5,11.3,1941-07-09
"		105",°­¸ª,Aug-41,22.7,27,33.8,1941-08-06,19.8,15.5,1941-08-23
"		105",°­¸ª,Sep-41,18.5,24.1,28.4,1941-09-01,14.5,11.9,1941-09-21
"		105",°­¸ª,Oct-41,15,21.4,29.4,1941-10-24,9.6,1.7,1941-10-27
"		105",°­¸ª,Nov-41,9.8,15,22.1,1941-11-17,5.6,-3.6,1941-11-29
"		105",°­¸ª,Dec-41,3.8,8.8,14.1,1941-12-21,-0.9,-7.4,1941-12-30
"		105",°­¸ª,Jan-42,-1.7,3.4,10.9,1942-01-29,-6.3,-12.3,1942-01-18
"		105",°­¸ª,Feb-42,-0.4,4.7,14.4,1942-02-23,-4.9,-13.7,1942-02-13
"		105",°­¸ª,Mar-42,7.6,13.1,21.8,1942-03-22,2.7,-5.4,1942-03-08
"		105",°­¸ª,Apr-42,13.2,19,30.7,1942-04-26,7.5,1,1942-04-17
"		105",°­¸ª,May-42,15.8,21.5,31.6,1942-05-29,11,5.1,1942-05-09
"		105",°­¸ª,Jun-42,22.1,28.2,36.8,1942-06-17,17,10.1,1942-06-02
"		105",°­¸ª,Jul-42,28.3,33.5,39.4,1942-07-25,23.8,16.8,1942-07-01
"		105",°­¸ª,Aug-42,23,26.8,35.7,1942-08-13,20.3,16.3,1942-08-28
"		105",°­¸ª,Sep-42,19.3,24.1,30.8,1942-09-08,15.6,10.7,1942-09-23
"		105",°­¸ª,Oct-42,14,20.3,27.8,1942-10-02,9,-1.9,1942-10-24
"		105",°­¸ª,Nov-42,8.6,13.9,23.3,1942-11-06,3.2,-4.6,1942-11-28
"		105",°­¸ª,Dec-42,2.2,6.7,11.9,1942-12-15,-2.2,-9.5,1942-12-26
"		105",°­¸ª,Jan-43,-2.3,3.1,12.6,1943-01-21,-7.1,-16.3,1943-01-12
"		105",°­¸ª,Feb-43,0.8,5.2,14,1943-02-27,-3.3,-10.3,1943-02-07
"		105",°­¸ª,Mar-43,5.2,9.8,18.8,1943-03-18,0.8,-5.1,1943-03-09
"		105",°­¸ª,Apr-43,11.2,16.6,27.1,1943-04-21,6,-0.3,1943-04-16
"		105",°­¸ª,May-43,17.3,22.7,30.9,1943-05-26,12.3,7,1943-05-21
"		105",°­¸ª,Jun-43,20.4,26.1,34,1943-06-12,15.9,11.2,1943-06-23
"		105",°­¸ª,Jul-43,23.3,27.2,33.5,1943-07-22,20,15.3,1943-07-26
"		105",°­¸ª,Aug-43,26.5,31.3,36.1,1943-08-11,22.9,18.5,1943-08-31
"		105",°­¸ª,Sep-43,19.7,23.9,28.2,1943-09-19,16.2,10.6,1943-09-29
"		105",°­¸ª,Oct-43,14.8,19.7,25,1943-10-11,10.6,5.8,1943-10-31
"		105",°­¸ª,Nov-43,8.9,13.8,25.3,1943-11-03,3.9,-5.1,1943-11-19
"		105",°­¸ª,Dec-43,4,8.8,16.4,1943-12-20,-0.8,-6.2,1943-12-08
"		105",°­¸ª,Jan-44,0.1,5.1,9.9,1944-01-08,-4.1,-9.7,1944-01-07
"		105",°­¸ª,Feb-44,0,4.2,13.9,1944-02-29,-4.3,-10.7,1944-02-15
"		105",°­¸ª,Mar-44,4.8,9.3,20.9,1944-03-26,0.9,-2.2,1944-03-12
"		105",°­¸ª,Apr-44,10,15.2,26,1944-04-26,5.7,-0.3,1944-04-03
"		105",°­¸ª,May-44,16.8,22.3,28.7,1944-05-28,12.4,7.9,1944-05-06
"		105",°­¸ª,Jun-44,21.3,26.5,33,1944-06-28,16.6,9.3,1944-06-09
"		105",°­¸ª,Jul-44,25,29.5,34.7,1944-07-17,21.2,15.7,1944-07-04
"		105",°­¸ª,Aug-44,24.6,28.9,35.2,1944-08-04,20.7,15,1944-08-26
"		105",°­¸ª,Sep-44,20.2,24.5,32,1944-09-01,16.8,12.9,1944-09-30
"		105",°­¸ª,Oct-44,14.3,19.5,23.3,1944-10-04,9.7,4.1,1944-10-14
"		105",°­¸ª,Nov-44,9.2,13.5,26.1,1944-11-02,5.4,-0.4,1944-11-13
"		105",°­¸ª,Dec-44,-2,2.5,9.2,1944-12-01,-6.5,-11.1,1944-12-16
"		105",°­¸ª,Jan-45,-3.5,1.2,6.7,1945-01-13,-7.7,-12.9,1945-01-18
"		105",°­¸ª,Feb-45,-2.2,2.3,10.9,1945-02-27,-6.4,-13.2,1945-02-04
"		105",°­¸ª,Mar-45,4.2,8.7,20.9,1945-03-28,0.2,-6,1945-03-08
"		105",°­¸ª,Apr-45,12.7,18.8,29.6,1945-04-22,7.1,0.3,1945-04-07
"		105",°­¸ª,May-45,14,19,29.4,1945-05-25,9.7,4.6,1945-05-12
"		105",°­¸ª,Jun-45,18.7,23.2,31.8,1945-06-17,14.9,9.2,1945-06-07
"		105",°­¸ª,Jul-45,20.2,23.7,31.8,1945-07-05,17.2,13.1,1945-07-07
"		105",°­¸ª,Aug-45,24.8,29.5,34.7,1945-08-20,21.4,17.4,1945-08-31
"		105",°­¸ª,Sep-45,19.8,23.7,28,1945-09-09,16.2,12.4,1945-09-30
"		105",°­¸ª,Oct-45,14,19.1,23.5,1945-10-16,10,4.6,1945-10-28
"		105",°­¸ª,Nov-45,10.6,15.5,21.4,1945-11-05,6.2,-0.8,1945-11-30
"		105",°­¸ª,Dec-45,2,6.7,14.8,1945-12-07,-2.7,-10.7,1945-12-29
"		105",°­¸ª,Jan-46,0.6,5.4,12.8,1946-01-20,-3.9,-12,1946-01-17
"		105",°­¸ª,Feb-46,1,5.2,11.3,1946-02-20,-2.9,-10,1946-02-03
"		105",°­¸ª,Mar-46,2.9,7.1,15.7,1946-03-29,-0.4,-8.1,1946-03-08
"		105",°­¸ª,Apr-46,12.4,17.8,25.8,1946-04-21,6.9,-1.2,1946-04-07
"		105",°­¸ª,May-46,14.7,20.2,28.5,1946-05-29,10.2,4.7,1946-05-15
"		105",°­¸ª,Jun-46,21.4,25.5,35.2,1946-06-13,17.4,10.3,1946-06-02
"		105",°­¸ª,Jul-46,24.2,28.2,35.5,1946-07-21,20.7,17.4,1946-07-02
"		105",°­¸ª,Aug-46,25.3,29.6,35.1,1946-08-13,21.7,18.9,1946-08-19
"		105",°­¸ª,Sep-46,20.1,25.4,34.2,1946-09-01,15.6,9.6,1946-09-29
"		105",°­¸ª,Oct-46,14.6,19.9,27.9,1946-10-25,9.1,1.6,1946-10-31
"		105",°­¸ª,Nov-46,10.1,14.6,21.1,1946-11-01,5.9,-2,1946-11-29
"		105",°­¸ª,Dec-46,-0.1,4.2,10.7,1946-12-01,-4.4,-11.3,1946-12-10
"		105",°­¸ª,Jan-47,-1.3,2.4,9.4,1947-01-12,-5.1,-12.5,1947-01-28
"		105",°­¸ª,Feb-47,-3.1,1.6,8.8,1947-02-24,-7.2,-14.4,1947-02-03
"		105",°­¸ª,Mar-47,2.5,7.6,16.6,1947-03-27,-1.6,-8.1,1947-03-04
"		105",°­¸ª,Apr-47,11.1,17,27.1,1947-04-15,5.7,-0.3,1947-04-06
"		105",°­¸ª,May-47,15.3,22.2,30.8,1947-05-16,9.8,-0.8,1947-05-09
"		105",°­¸ª,Jun-47,16.4,20.3,30.1,1947-06-26,13.3,9.8,1947-06-04
"		105",°­¸ª,Jul-47,22.9,26.8,33,1947-07-07,19.4,14,1947-07-12
"		105",°­¸ª,Aug-47,24.8,29.2,34.8,1947-08-14,20.9,16.1,1947-08-05
"		105",°­¸ª,Sep-47,19.1,23.9,30.8,1947-09-05,15.4,8.6,1947-09-30
"		105",°­¸ª,Oct-47,12.4,17.3,21.9,1947-10-31,8.5,4.3,1947-10-29
"		105",°­¸ª,Nov-47,6.6,11.9,21.6,1947-11-07,2.2,-6.7,1947-11-27
"		105",°­¸ª,Dec-47,-1.1,3.3,11.3,1947-12-08,-5.6,-12.7,1947-12-19
"		105",°­¸ª,Jan-48,-1,3.5,14.1,1948-01-20,-5.6,-11.6,1948-01-29
"		105",°­¸ª,Feb-48,0.2,5.3,12.2,1948-02-26,-4.2,-9.2,1948-02-06
"		105",°­¸ª,Mar-48,3.1,7.5,22.1,1948-03-31,-1.1,-6.9,1948-03-02
"		105",°­¸ª,Apr-48,12.6,18.6,26.2,1948-04-08,7.3,2.9,1948-04-28
"		105",°­¸ª,May-48,16.9,22.8,28.9,1948-05-26,11.4,7.6,1948-05-03
"		105",°­¸ª,Jun-48,20.1,24.1,33.3,1948-06-24,16.4,8.5,1948-06-03
"		105",°­¸ª,Jul-48,22.4,25.3,33.9,1948-07-26,19.7,15.4,1948-07-05
"		105",°­¸ª,Aug-48,23.8,27.8,32.8,1948-08-11,20.4,17,1948-08-24
"		105",°­¸ª,Sep-48,19.8,24.8,32,1948-09-03,15.5,11.5,1948-09-14
"		105",°­¸ª,Oct-48,14.7,20.1,27.3,1948-10-11,10.9,5.8,1948-10-18
"		105",°­¸ª,Nov-48,8.2,13.5,19.4,1948-11-20,3.8,-5.9,1948-11-28
"		105",°­¸ª,Dec-48,6.2,10.3,15.9,1948-12-04,2.4,-3,1948-12-29
"		105",°­¸ª,Jan-49,0.6,4.9,12.4,1949-01-27,-3.5,-11.8,1949-01-07
"		105",°­¸ª,Feb-49,1.8,5.5,10.3,1949-02-19,-1.7,-7.4,1949-02-11
"		105",°­¸ª,Mar-49,4.1,9.1,18.3,1949-03-31,-0.5,-8.7,1949-03-08
"		105",°­¸ª,Apr-49,10.9,16.2,23.5,1949-04-17,6.3,-1.4,1949-04-02
"		105",°­¸ª,May-49,18.4,24.2,33.1,1949-05-11,12.9,4.8,1949-05-03
"		105",°­¸ª,Jun-49,16.6,19.8,29.2,1949-06-16,13.9,10.3,1949-06-11
"		105",°­¸ª,Jul-49,21.2,24.6,34.5,1949-07-21,18.3,11.9,1949-07-01
"		105",°­¸ª,Aug-49,25.7,30.3,34.2,1949-08-13,21.9,17.1,1949-08-28
"		105",°­¸ª,Sep-49,20.6,25.7,32.6,1949-09-07,16.3,12.6,1949-09-21
"		105",°­¸ª,Oct-49,14.3,20.1,24.4,1949-10-08,9.7,2.6,1949-10-31
"		105",°­¸ª,Nov-49,8.1,13.4,20.9,1949-11-12,3.8,-5.2,1949-11-18
"		105",°­¸ª,Dec-49,2.6,7.1,15.1,1949-12-11,-2,-9.3,1949-12-29
"		105",°­¸ª,Jan-50,1.2,4.7,12.1,1950-01-27,-2.6,-12.4,1950-01-06
"		105",°­¸ª,Feb-50,-0.2,3.7,12.1,1950-02-25,-4.1,-8.2,1950-02-05
"		105",°­¸ª,Mar-50,4.8,10.2,17.2,1950-03-24,-0.1,-9.5,1950-03-12
"		105",°­¸ª,Apr-50,11.2,15.9,25.1,1950-04-27,7.2,0.8,1950-04-07
"		105",°­¸ª,May-50,17.5,22.6,32,1950-05-15,12.7,6.9,1950-05-21
"		105",°­¸ª,Jun-50,19.1,23.2,30.4,1950-06-15,15.2,9.9,1950-06-04
"		105",°­¸ª,Jul-50,24.7,28.7,34.8,1950-07-23,21.5,17.5,1950-07-12
"		105",°­¸ª,Aug-50,24.4,28.9,33.3,1950-08-06,20.9,15.9,1950-08-30
"		105",°­¸ª,Oct-50,,,,,,,
"		105",°­¸ª,Nov-50,8.3,13.1,20.8,1950-11-21,4.2,-7.6,1950-11-14
"		105",°­¸ª,Dec-50,2.1,6.3,15.1,1950-12-13,-2.7,-7,1950-12-31
"		105",°­¸ª,Sep-51,19.6,25,30,1951-09-02,15.4,11.3,1951-09-20
"		105",°­¸ª,Oct-51,14.4,19.8,28.9,1951-10-11,10.4,4.7,1951-10-28
"		105",°­¸ª,Nov-51,8.1,12.5,20.3,1951-11-14,4.9,-6.4,1951-11-26
"		105",°­¸ª,Dec-51,4.8,9.3,16.9,1951-12-22,1,-8.5,1951-12-29
"		105",°­¸ª,Jan-52,0,4.4,9.4,1952-01-29,-3.9,-9.7,1952-01-26
"		105",°­¸ª,Feb-52,-1.5,2.4,8.3,1952-02-09,-5.4,-15.9,1952-02-05
"		105",°­¸ª,Mar-52,4.4,9.2,17.9,1952-03-15,0.2,-8.1,1952-03-04
"		105",°­¸ª,Apr-52,11.8,17.3,26.9,1952-04-30,6.7,2.6,1952-04-02
"		105",°­¸ª,May-52,17.2,23.8,33.3,1952-05-14,11.4,4.5,1952-05-09
"		105",°­¸ª,Jun-52,21.3,26.7,34.4,1952-06-19,17.1,12,1952-06-02
"		105",°­¸ª,Jul-52,23.4,27.2,36.3,1952-07-25,20.6,14.2,1952-07-05
"		105",°­¸ª,Aug-52,23.9,28.4,33.2,1952-08-25,20.5,17.8,1952-08-07
"		105",°­¸ª,Sep-52,19.4,24.2,29,1952-09-04,16,8.1,1952-09-27
"		105",°­¸ª,Oct-52,13.5,19.5,24.3,1952-10-15,9.1,4.4,1952-10-12
"		105",°­¸ª,Nov-52,9.1,13.6,23.4,1952-11-05,5.6,-0.1,1952-11-19
"		105",°­¸ª,Dec-52,1.4,5.7,14.1,1952-12-14,-2.6,-9.2,1952-12-03
"		105",°­¸ª,Jan-53,-1.4,3.3,12.6,1953-01-10,-5.6,-11.9,1953-01-14
"		105",°­¸ª,Feb-53,1,5.5,15.7,1953-02-27,-3,-9.1,1953-02-08
"		105",°­¸ª,Mar-53,6.4,11.1,19,1953-03-24,2.2,-1.4,1953-03-04
"		105",°­¸ª,Apr-53,11.7,17.2,25.8,1953-04-26,7.1,3.5,1953-04-01
"		105",°­¸ª,May-53,16,21.2,27.2,1953-05-27,12.3,5,1953-05-01
"		105",°­¸ª,Jun-53,19.1,22.7,32.7,1953-06-16,16.3,13.7,1953-06-09
"		105",°­¸ª,Jul-53,23.8,27.5,35.2,1953-07-27,20.8,14.1,1953-07-01
"		105",°­¸ª,Aug-53,24.1,28.4,35.7,1953-08-19,21.1,16,1953-08-26
"		105",°­¸ª,Sep-53,19.6,24.7,29.3,1953-09-10,15.9,13.3,1953-09-24
"		105",°­¸ª,Oct-53,16,21.7,27.8,1953-10-08,11.9,8.7,1953-10-14
"		105",°­¸ª,Nov-53,8,12.8,19.6,1953-11-30,3.9,-3,1953-11-20
"		105",°­¸ª,Dec-53,4.7,8.7,21.8,1953-12-01,0.9,-4.7,1953-12-31
"		105",°­¸ª,Jan-54,1.6,5.6,11.7,1954-01-18,-1.7,-8.3,1954-01-25
"		105",°­¸ª,Feb-54,2,6.3,14.4,1954-02-11,-1.3,-7.4,1954-02-03
"		105",°­¸ª,Mar-54,5.5,10.2,20.6,1954-03-25,1.5,-7.9,1954-03-13
"		105",°­¸ª,Apr-54,11.5,16.1,22.7,1954-04-28,7.5,3.5,1954-04-09
"		105",°­¸ª,May-54,17.2,22.7,29,1954-05-18,12.7,8,1954-05-05
"		105",°­¸ª,Jun-54,17.2,20,27.9,1954-06-13,14.7,9.1,1954-06-01
"		105",°­¸ª,Jul-54,19.7,22.2,29.4,1954-07-01,17.6,14.2,1954-07-13
"		105",°­¸ª,Aug-54,24.7,28.8,35.6,1954-08-07,21.5,15.5,1954-08-01
"		105",°­¸ª,Sep-54,20.4,24.5,30.6,1954-09-16,17,10.3,1954-09-27
"		105",°­¸ª,Oct-54,13.2,18,24.1,1954-10-03,9.6,3.6,1954-10-12
"		105",°­¸ª,Nov-54,11.7,16.4,22.2,1954-11-05,7.9,4.3,1954-11-02
"		105",°­¸ª,Dec-54,2.6,7,14.3,1954-12-01,-1.4,-8.7,1954-12-15
"		105",°­¸ª,Jan-55,-0.8,4,9.4,1955-01-08,-5.2,-12.7,1955-01-16
"		105",°­¸ª,Feb-55,3.5,8.2,18.5,1955-02-26,-1.1,-14.2,1955-02-21
"		105",°­¸ª,Mar-55,5.5,9.5,24,1955-03-17,1.9,-2.9,1955-03-14
"		105",°­¸ª,Apr-55,11.7,16.5,30.6,1955-04-12,7.6,-2.9,1955-04-04
"		105",°­¸ª,May-55,15.7,21,29.7,1955-05-21,11.4,8.6,1955-05-26
"		105",°­¸ª,Jun-55,21.5,25.7,32.9,1955-06-05,18.1,11,1955-06-03
"		105",°­¸ª,Jul-55,25.2,29.3,33.9,1955-07-30,22.1,19.2,1955-07-07
