사고유형 대분류,사고유형 중분류,사고유형,연도,합계,2020,2020,2020,2020,2020,2020,2020,2020,2021,2021,2021,2021,2021,2021,2021,2021,2022,2022,2022,2022,2022,2022,2022,2022,2023,2023,2023,2023,2023,2023,2023,2023,2024,2024,2024,2024,2024,2024,2024,2024
사고유형 대분류,사고유형 중분류,사고유형,연도,합계,합계,건조,젖음/습기,서리/결빙,적설,침수,해빙,기타,합계,건조,젖음/습기,서리/결빙,적설,침수,해빙,기타,합계,건조,젖음/습기,서리/결빙,적설,침수,해빙,기타,합계,건조,젖음/습기,서리/결빙,적설,침수,해빙,기타,합계,건조,젖음/습기,서리/결빙,적설,침수,해빙,기타
차대사람,기타,기타,사망[명],"1,403",288,235,49,1,0,0,0,3,333,277,49,3,2,0,0,2,256,221,30,0,0,0,0,5,253,219,32,1,0,0,0,1,273,230,39,2,1,0,0,1
차대사람,기타,기타,부상[명],"76,924","15,757","14,326","1,204",15,8,1,0,203,"15,088","13,688","1,085",54,41,1,1,218,"15,517","14,295",839,63,50,1,2,267,"15,355","13,842","1,175",30,28,2,0,278,"15,207","13,774","1,104",30,35,1,0,263
차대차,합계,합계,사고[건],"781,231","164,552","147,471","15,167",404,186,17,8,"1,299","160,032","142,964","13,721",951,658,20,8,"1,710","151,676","138,845","9,926",811,400,25,16,"1,653","152,935","137,065","13,488",537,349,15,6,"1,475","152,036","137,045","12,553",504,417,19,8,"1,490"
차대차,합계,합계,사망[명],"5,857","1,299","1,133",149,8,1,0,0,8,"1,238","1,052",154,12,6,0,0,14,"1,171","1,047",106,10,0,0,0,8,"1,041",891,134,4,2,0,0,10,"1,108",993,93,5,3,1,0,13
차대차,합계,합계,부상[명],"1,209,042","259,110","231,523","24,523",716,327,29,13,"1,979","246,674","219,885","21,504","1,570","1,099",26,14,"2,576","234,722","214,584","15,500","1,390",676,38,34,"2,500","236,287","211,227","21,121","1,075",654,27,7,"2,176","232,249","208,792","19,677",830,668,42,13,"2,227"
차대차,충돌,충돌,사고[건],"399,471","85,489","77,496","7,273",139,89,9,3,480,"83,093","75,158","6,688",374,260,7,4,602,"76,557","71,003","4,573",260,158,10,5,548,"77,537","70,169","6,603",168,152,9,1,435,"76,795","69,847","6,140",166,165,8,4,465
차대차,충돌,충돌,사망[명],"2,826",626,557,65,1,0,0,0,3,611,526,75,5,2,0,0,3,590,529,51,5,0,0,0,5,482,409,65,2,0,0,0,6,517,466,45,2,1,0,0,3
차대차,충돌,충돌,부상[명],"606,050","132,932","119,924","11,848",218,152,16,7,767,"125,806","113,408","10,438",631,435,9,8,877,"116,156","107,478","7,117",469,247,14,8,823,"116,579","105,093","10,265",309,280,20,2,610,"114,577","103,810","9,541",256,279,18,7,666
차대차,추돌,추돌,사고[건],"159,598","32,993","29,062","3,521",130,51,1,3,225,"32,717","28,720","3,156",313,215,5,2,306,"31,204","28,071","2,392",278,133,9,3,318,"31,939","28,198","3,129",195,107,2,4,304,"30,745","27,372","2,745",176,136,2,1,313
차대차,추돌,추돌,사망[명],"1,746",370,308,54,5,1,0,0,2,379,323,46,1,3,0,0,6,329,294,32,2,0,0,0,1,325,293,29,1,1,0,0,1,343,314,23,0,2,1,0,3
